Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance OG,Performance Recov,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Expected xA,Expected A-xAG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,KP,1/3,PPA,CrsPA,PrgP
1,Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,24,2000,0,0,0,13.7,0,1,1,0,0,0,1,0,0,12,26,2,13,8,0,75,0.0,0.0,0.8,0.9,0.9,0.2,0.02,0.0,0.0,22,43,26,0.0,0.07,0.07,0.0,0.07,0.0,0.06,0.06,0.0,0.06,13.7,29,19,20,7,2,20,34,58.8,14,9,5,4,8,37,27,0,0,2,0,0.0,0.15,0.0,0.0,0.0,23.9,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,23,1.68,16,4,0,0,3,0,2,0.15,2,0,0,0,0,0,5,11,31.3,450,581,77.5,7402,2789,7,25,13,2,43
2,Brenden Aaronson,us USA,"MF,FW",Union Berlin,de Bundesliga,24,2000,0,0,0,14.1,2,2,4,2,0,0,3,1,1,15,25,5,22,2,0,88,2.0,2.0,1.9,3.8,2.0,0.1,0.11,0.0,0.0,37,56,91,0.14,0.14,0.28,0.14,0.28,0.14,0.13,0.27,0.14,0.27,14.1,32,18,13,13,6,16,32,50.0,16,26,1,25,2,34,4,0,2,18,7,38.9,1.28,0.5,0.11,0.29,18.4,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,53,3.76,41,1,8,3,0,0,8,0.57,6,0,2,0,0,0,13,16,44.8,365,472,77.3,4890,1506,22,30,14,3,56
3,Paxten Aaronson,us USA,MF,Eint Frankfurt,de Bundesliga,21,2003,0,0,0,1.1,0,1,1,0,0,0,0,0,0,6,4,0,0,0,0,5,0.1,0.1,0.1,0.2,0.1,0.9,0.06,-0.1,-0.1,2,5,7,0.0,0.89,0.89,0.0,0.89,0.11,0.07,0.19,0.11,0.19,1.1,2,2,1,1,0,1,1,100.0,0,2,0,2,0,2,0,0,0,2,2,100.0,1.78,1.78,0.0,0.0,15.1,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,1,0.89,1,0,0,0,0,0,1,0.89,1,0,0,0,0,0,3,0,100.0,41,50,82.0,576,71,1,4,2,0,5
4,Keyliane Abdallah,fr FRA,FW,Marseille,fr Ligue 1,18,2006,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,1,1,100.0,8,0,0,0,0,0,0
5,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,37,1987,0,0,0,30.9,4,0,4,3,1,1,5,0,0,26,12,0,3,39,1,149,3.4,2.6,0.3,2.9,0.6,-0.3,0.13,0.6,0.4,36,137,9,0.13,0.0,0.13,0.1,0.1,0.11,0.01,0.12,0.09,0.09,30.9,64,35,36,23,5,26,45,57.8,19,51,32,19,39,103,109,2,4,21,7,33.3,0.68,0.23,0.14,0.43,15.0,0,1,1,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,24,0.78,19,1,0,3,1,0,1,0.03,0,0,0,1,0,0,61,37,62.2,1552,1836,84.5,29618,9672,8,129,3,0,137
6,Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,24,2000,0,0,0,16.9,0,0,0,0,0,0,2,0,0,34,16,0,3,12,0,89,0.8,0.8,0.5,1.3,1.1,-0.5,0.17,-0.8,-0.8,9,78,20,0.0,0.0,0.0,0.0,0.0,0.05,0.03,0.08,0.05,0.08,16.9,21,14,8,10,3,8,18,44.4,10,12,1,11,12,33,18,0,0,5,0,0.0,0.3,0.0,0.0,0.0,21.6,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,27,1.6,27,0,0,0,0,0,3,0.18,3,0,0,0,0,0,2,7,22.2,796,895,88.9,12470,3008,6,87,5,2,78
7,Nabil Aberdin,fr FRA,DF,Getafe,es La Liga,22,2002,0,0,0,2.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,10,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,4,6,40.0,60,79,75.9,1159,426,0,4,0,0,7
8,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,31,1993,0,0,0,31.8,2,1,3,2,0,0,4,0,0,36,36,1,34,61,0,226,1.1,1.1,2.2,3.3,1.9,-1.2,0.04,0.9,0.9,38,194,51,0.06,0.03,0.09,0.06,0.09,0.04,0.07,0.1,0.04,0.1,31.8,85,52,43,34,8,38,96,39.6,58,29,6,23,61,146,61,3,2,26,11,42.3,0.82,0.35,0.08,0.18,26.5,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,81,2.55,67,3,2,1,2,6,5,0.16,3,0,1,0,0,1,15,14,51.7,1551,1836,84.5,27382,8613,30,188,23,3,194
9,Matthis Abline,fr FRA,FW,Nantes,fr Ligue 1,21,2003,0,0,0,11.6,5,0,5,5,0,0,1,0,0,10,13,6,7,3,0,39,3.8,3.8,2.0,5.8,0.9,-2.0,0.09,1.2,1.2,28,20,87,0.43,0.0,0.43,0.43,0.43,0.33,0.17,0.5,0.33,0.5,11.6,9,4,4,3,2,3,8,37.5,5,3,0,3,3,12,5,0,5,42,19,45.2,3.62,1.64,0.12,0.26,17.4,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,38,3.28,30,0,5,2,1,0,2,0.17,0,0,1,0,1,0,15,27,35.7,162,231,70.1,2410,448,17,6,7,2,20
10,Abner,br BRA,DF,Betis,es La Liga,24,2000,0,0,0,15.6,0,1,1,0,0,0,3,0,0,16,2,2,26,15,0,79,0.1,0.1,1.0,1.1,1.0,0.0,0.03,-0.1,-0.1,14,33,58,0.0,0.06,0.06,0.0,0.06,0.01,0.06,0.07,0.01,0.07,15.6,25,19,15,9,1,17,34,50.0,17,23,5,18,15,40,62,0,0,4,0,0.0,0.26,0.0,0.0,0.0,15.4,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,14,0.9,13,0,0,1,0,0,0,0.0,0,0,0,0,0,0,14,10,58.3,615,797,77.2,9211,4552,8,20,7,2,33
11,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,fr Ligue 1,24,2000,0,0,0,8.4,3,0,3,2,1,1,2,0,0,17,15,8,5,1,0,21,2.8,2.0,0.2,2.2,1.1,-0.2,0.07,0.2,0.0,23,20,75,0.36,0.0,0.36,0.24,0.24,0.33,0.02,0.36,0.24,0.26,8.4,9,8,1,5,3,3,12,25.0,9,9,1,8,1,10,2,0,3,27,7,25.9,3.22,0.84,0.07,0.29,18.7,0,1,1,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,20,2.39,10,0,2,3,3,2,2,0.24,0,0,0,1,1,0,6,7,46.2,140,196,71.4,2025,599,5,10,9,1,20
12,Abdel Abqar,ma MAR,DF,Alavés,es La Liga,25,1999,0,0,0,25.7,0,0,0,0,0,0,10,0,0,33,23,1,2,23,1,109,0.5,0.5,0.2,0.6,0.2,-0.2,0.05,-0.5,-0.5,7,49,1,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.02,0.02,0.02,25.7,35,19,28,5,2,21,35,60.0,14,31,26,5,23,58,115,0,0,10,3,30.0,0.39,0.12,0.0,0.0,12.1,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,12,0.47,9,0,0,2,1,0,0,0.0,0,0,0,0,0,0,39,36,52.0,553,762,72.6,12370,4872,3,61,2,0,49
13,Tammy Abraham,eng ENG,FW,Roma,it Serie A,27,1997,0,0,0,2.7,1,0,1,1,0,0,1,0,0,6,5,2,2,0,0,1,0.6,0.6,0.1,0.7,0.0,-0.1,0.15,0.4,0.4,6,4,15,0.37,0.0,0.37,0.37,0.37,0.22,0.05,0.27,0.22,0.27,2.7,3,1,0,1,2,0,0,0.0,0,1,0,1,0,3,4,0,1,4,2,50.0,1.49,0.74,0.25,0.5,11.9,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,3,1.12,1,0,0,0,1,1,1,0.37,0,0,0,0,1,0,6,5,54.5,19,40,47.5,231,75,3,1,1,0,4
14,Francesco Acerbi,it ITA,DF,Inter,it Serie A,36,1988,0,0,0,26.5,3,1,4,3,0,0,1,0,0,19,24,3,9,32,0,102,1.6,1.6,1.8,3.4,1.3,-0.8,0.11,1.4,1.4,21,87,24,0.11,0.04,0.15,0.11,0.15,0.06,0.07,0.13,0.06,0.13,26.5,22,13,16,6,0,11,14,78.6,3,20,13,7,32,54,77,1,3,15,6,40.0,0.57,0.23,0.2,0.5,12.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,22,0.83,19,0,0,3,0,0,1,0.04,1,0,0,0,0,0,70,37,65.4,1615,1781,90.7,29326,9174,7,58,5,2,87
15,Joshua Acheampong,eng ENG,DF,Chelsea,eng Premier League,18,2006,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0,0,0,0,0,0,0,0.0,0,3,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,1,15.0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,1,2,50.0,18,7,0,0,0,0,0
16,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,33,1991,0,0,0,14.4,1,2,3,1,0,0,7,0,0,18,17,1,82,4,0,99,0.3,0.3,1.5,1.8,2.1,0.5,0.03,0.7,0.7,23,59,42,0.07,0.14,0.21,0.07,0.21,0.02,0.11,0.13,0.02,0.13,14.4,33,21,20,12,1,9,14,64.3,5,12,2,10,4,37,25,0,1,9,4,44.4,0.63,0.28,0.11,0.25,27.9,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,49,3.42,28,15,3,0,2,1,4,0.28,1,3,0,0,0,0,13,11,54.2,628,847,74.1,12126,4928,23,52,19,12,59
17,Akor Adams,ng NGA,FW,Montpellier,fr Ligue 1,24,2000,0,0,0,25.0,8,1,9,8,0,0,2,0,0,39,22,26,12,5,0,55,12.4,12.4,1.9,14.3,1.4,-0.9,0.16,-4.4,-4.4,40,17,127,0.32,0.04,0.36,0.32,0.36,0.5,0.07,0.57,0.5,0.57,25.0,12,4,3,4,5,3,7,42.9,4,9,2,7,5,17,11,0,8,79,32,40.5,3.16,1.28,0.1,0.25,14.5,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,43,1.72,29,0,5,8,1,0,3,0.12,0,0,2,1,0,0,54,69,43.9,250,385,64.9,3676,786,17,14,4,2,17
18,Tyler Adams,us USA,MF,Bournemouth,eng Premier League,25,1999,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,3,0,1,4,0,7,0.0,0.0,0.1,0.1,0.0,-0.1,0.0,0.0,0.0,4,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06,1.3,4,3,1,3,0,2,3,66.7,1,2,0,2,4,8,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,3,2.25,2,1,0,0,0,0,0,0.0,0,0,0,0,0,0,2,3,40.0,59,71,83.1,973,262,1,9,0,0,5
19,Junior Adamu,at AUT,"FW,MF",Freiburg,de Bundesliga,23,2001,0,0,0,1.2,0,0,0,0,0,0,0,0,0,7,4,2,1,0,0,10,0.1,0.1,0.1,0.2,0.0,-0.1,0.03,-0.1,-0.1,1,1,5,0.0,0.0,0.0,0.0,0.0,0.05,0.1,0.16,0.05,0.16,1.2,5,1,1,2,2,1,2,50.0,1,1,0,1,0,5,2,0,0,2,1,50.0,1.71,0.86,0.0,0.0,12.1,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,2,1.73,1,0,0,0,1,0,0,0.0,0,0,0,0,0,0,5,6,45.5,18,30,60.0,181,36,1,0,1,0,1
20,Sargis Adamyan,am ARM,"FW,MF",Köln,de Bundesliga,31,1993,0,0,0,8.9,1,2,3,1,0,0,2,0,0,18,13,8,4,5,0,30,4.1,4.1,2.0,6.1,1.1,0.0,0.13,-3.1,-3.1,15,18,42,0.11,0.22,0.34,0.11,0.34,0.46,0.23,0.69,0.46,0.69,8.9,14,9,2,9,3,6,11,54.5,5,16,1,15,5,19,7,0,1,31,13,41.9,3.48,1.46,0.03,0.08,12.4,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,31,3.48,22,0,1,1,6,1,3,0.34,1,0,0,1,1,0,14,37,27.5,132,189,69.8,1883,483,12,16,3,0,18
21,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,27,1997,0,0,0,18.0,2,0,2,2,0,0,2,0,0,10,5,0,1,25,0,43,0.7,0.7,0.1,0.8,0.3,-0.1,0.05,1.3,1.3,10,62,5,0.11,0.0,0.11,0.11,0.11,0.04,0.01,0.05,0.04,0.05,18.0,21,11,16,5,0,12,21,57.1,9,16,11,5,25,46,80,0,2,14,5,35.7,0.78,0.28,0.14,0.4,14.2,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,10,0.56,6,0,0,4,0,0,0,0.0,0,0,0,0,0,0,56,28,66.7,1028,1216,84.5,21010,7956,2,47,2,0,62
22,Elijah Adebayo,eng ENG,FW,Luton Town,eng Premier League,26,1998,0,0,0,15.8,10,0,10,10,0,0,1,0,0,27,16,13,5,6,0,34,5.9,5.9,0.7,6.6,0.4,-0.7,0.19,4.1,4.1,16,23,110,0.63,0.0,0.63,0.63,0.63,0.37,0.04,0.42,0.37,0.42,15.8,4,1,1,0,3,1,12,8.3,11,13,2,11,6,10,25,0,10,31,14,45.2,1.97,0.89,0.32,0.71,9.6,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,31,1.97,19,0,5,5,2,0,5,0.32,2,0,0,3,0,0,43,43,50.0,144,204,70.6,1847,385,14,9,4,0,23
23,Karim Adeyemi,de GER,"FW,MF",Dortmund,de Bundesliga,22,2002,0,0,0,10.1,3,1,4,3,0,0,6,1,1,20,19,1,25,3,0,60,3.5,3.5,2.0,5.5,1.6,-1.0,0.15,-0.5,-0.5,52,26,96,0.3,0.1,0.39,0.3,0.39,0.34,0.2,0.54,0.34,0.54,10.1,16,14,9,4,3,8,20,40.0,12,11,0,11,3,19,5,0,3,23,10,43.5,2.27,0.99,0.13,0.3,14.6,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,25,2.46,13,1,3,2,6,0,2,0.2,2,0,0,0,0,0,14,9,60.9,218,299,72.9,2929,719,9,9,10,1,26
24,Simon Adingra,ci CIV,FW,Brighton,eng Premier League,22,2002,0,0,0,24.7,6,1,7,6,0,0,3,0,0,29,19,17,76,19,0,118,4.3,4.3,3.7,8,3.5,-2.7,0.08,1.7,1.7,111,50,278,0.24,0.04,0.28,0.24,0.28,0.17,0.15,0.32,0.17,0.32,24.7,45,20,23,11,11,19,42,45.2,23,31,1,30,19,64,22,0,6,52,22,42.3,2.11,0.89,0.12,0.27,15.9,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,77,3.12,51,1,13,7,3,2,4,0.16,3,0,0,0,0,1,8,12,40.0,634,840,75.5,8828,1713,33,17,33,11,50
25,Nathaniel Adjei,gh GHA,DF,Lorient,fr Ligue 1,22,2002,0,0,0,13.8,0,0,0,0,0,0,2,0,0,10,12,2,2,18,0,60,0.4,0.4,0.1,0.5,0.5,-0.1,0.09,-0.4,-0.4,10,34,4,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.03,0.03,0.03,13.8,13,9,8,3,2,6,7,85.7,1,15,8,7,18,31,64,1,0,4,0,0.0,0.29,0.0,0.0,0.0,8.3,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,11,0.8,8,0,0,0,1,2,0,0.0,0,0,0,0,0,0,30,22,57.7,578,669,86.4,10635,4097,3,38,1,0,34
26,Amine Adli,ma MAR,"MF,FW",Leverkusen,de Bundesliga,24,2000,0,0,0,10.0,4,6,10,4,0,0,5,0,0,14,28,7,23,6,0,36,3.3,3.3,2.3,5.6,2.9,3.7,0.12,0.7,0.7,32,39,131,0.4,0.6,1.0,0.4,1.0,0.33,0.23,0.56,0.33,0.56,10.0,16,7,2,10,4,7,17,41.2,10,10,2,8,6,22,5,0,4,27,15,55.6,2.71,1.5,0.15,0.27,13.7,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,52,5.22,39,0,6,3,4,0,9,0.9,5,0,2,1,1,0,21,22,48.8,367,459,80.0,4683,1110,21,19,18,3,39
27,Yacine Adli,fr FRA,MF,Milan,it Serie A,24,2000,0,0,0,15.6,1,2,3,1,0,0,3,0,0,26,9,1,50,20,0,94,0.3,0.3,2.2,2.5,2.0,-0.2,0.07,0.7,0.7,30,125,26,0.06,0.13,0.19,0.06,0.19,0.02,0.14,0.16,0.02,0.16,15.6,34,17,17,13,4,13,35,37.1,22,22,8,14,20,54,15,1,1,4,1,25.0,0.26,0.06,0.25,1.0,19.8,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,62,3.97,41,18,3,0,0,0,8,0.51,4,3,1,0,0,0,15,10,60.0,1125,1300,86.5,20142,6752,22,149,16,6,125
28,Adryelson,br BRA,"DF,FW",Lyon,fr Ligue 1,26,1998,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0,0,0,0,0,0,0,0.0,0,0,0,0,1,1,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,5,5,100.0,75,28,0,0,0,0,0
29,Adson,br BRA,"MF,FW",Nantes,fr Ligue 1,24,2000,0,0,0,2.6,0,0,0,0,0,0,0,0,0,4,4,0,2,2,0,11,0.2,0.2,0.1,0.3,0.3,-0.1,0.05,-0.2,-0.2,18,15,19,0.0,0.0,0.0,0.0,0.0,0.09,0.04,0.13,0.09,0.13,2.6,7,6,1,6,0,2,2,100.0,0,5,0,5,2,9,2,0,0,5,0,0.0,1.89,0.0,0.0,0.0,17.9,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,9,3.4,8,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,2,0.0,115,130,88.5,1750,378,3,11,4,0,15
30,Michel Aebischer,ch SUI,MF,Bologna,it Serie A,27,1997,0,0,0,24.8,0,1,1,0,0,0,8,0,0,37,30,0,12,12,0,135,1.1,1.1,1.5,2.6,1.0,-0.5,0.06,-1.1,-1.1,26,125,55,0.0,0.04,0.04,0.0,0.04,0.04,0.06,0.11,0.04,0.11,24.8,35,20,9,20,6,15,34,44.1,19,28,6,22,12,47,22,0,0,18,5,27.8,0.73,0.2,0.0,0.0,22.4,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,40,1.61,32,2,2,2,2,0,1,0.04,1,0,0,0,0,0,11,16,40.7,1370,1503,91.2,21535,5798,17,117,9,1,125
31,Emmanuel Agbadou,ci CIV,DF,Reims,fr Ligue 1,27,1997,0,0,0,28.8,1,1,2,1,0,0,1,0,0,31,10,2,6,55,0,217,2.4,2.4,1.5,3.8,1.6,-0.5,0.07,-1.4,-1.4,42,179,19,0.03,0.03,0.07,0.03,0.07,0.08,0.05,0.13,0.08,0.13,28.8,65,41,38,23,4,44,64,68.8,20,47,25,22,55,120,116,1,1,32,5,15.6,1.11,0.17,0.03,0.2,15.1,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,47,1.63,43,0,0,4,0,0,1,0.03,1,0,0,0,0,0,45,32,58.4,1599,1838,87.0,32774,10984,12,172,5,1,179
32,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,24,2000,4,2,238,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4,1.51,12,8,66.7,1,0,1,2,100.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,100.0,67,100,67.0,1906,1648,0,2,0,0,0
33,Lucien Agoume,fr FRA,MF,Inter,it Serie A,22,2002,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,100.0,5,5,100.0,75,7,0,0,0,0,0
34,Lucien Agoume,fr FRA,MF,Sevilla,es La Liga,22,2002,0,0,0,8.6,0,0,0,0,0,0,3,0,0,19,2,0,2,7,0,48,0.9,0.9,0.6,1.5,0.3,-0.6,0.14,-0.9,-0.9,7,35,9,0.0,0.0,0.0,0.0,0.0,0.1,0.07,0.17,0.1,0.17,8.6,23,18,7,14,2,9,12,75.0,3,6,1,5,7,30,8,0,0,6,2,33.3,0.69,0.23,0.0,0.0,13.2,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,21,2.43,19,0,2,0,0,0,1,0.12,1,0,0,0,0,0,9,7,56.3,301,360,83.6,5285,1424,9,36,5,1,35
35,Felix Agu,de GER,"DF,MF",Werder Bremen,de Bundesliga,25,1999,0,0,0,17.9,0,0,0,0,0,0,2,0,0,15,44,2,46,13,0,71,0.9,0.9,0.6,1.5,1.4,-0.6,0.08,-0.9,-0.9,32,32,90,0.0,0.0,0.0,0.0,0.0,0.05,0.04,0.08,0.05,0.08,17.9,45,29,28,13,4,29,41,70.7,12,27,7,20,13,58,41,0,0,11,0,0.0,0.61,0.0,0.0,0.0,19.5,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,24,1.34,16,1,0,0,7,0,3,0.17,0,0,0,0,3,0,15,24,38.5,488,669,72.9,7657,2921,7,18,16,7,32
36,Nayef Aguerd,ma MAR,DF,West Ham,eng Premier League,28,1996,0,0,0,20.6,1,0,1,1,0,0,3,1,1,10,6,0,5,17,0,102,1.5,1.5,0.3,1.8,0.4,-0.3,0.11,-0.5,-0.5,10,68,3,0.05,0.0,0.05,0.05,0.05,0.07,0.01,0.09,0.07,0.09,20.6,26,14,19,7,0,16,22,72.7,6,33,24,9,17,43,85,2,1,14,3,21.4,0.68,0.15,0.07,0.33,10.8,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,14,0.68,12,1,0,1,0,0,0,0.0,0,0,0,0,0,0,48,32,60.0,943,1177,80.1,19870,8804,4,74,2,0,68
37,Ruben Aguilar,fr FRA,DF,Lens,fr Ligue 1,31,1993,0,0,0,21.4,1,3,4,1,0,0,3,0,0,20,24,3,75,26,0,106,1.4,1.4,2.9,4.3,4.0,0.1,0.12,-0.4,-0.4,36,110,162,0.05,0.14,0.19,0.05,0.19,0.07,0.14,0.2,0.07,0.2,21.4,53,31,27,23,3,27,45,60.0,18,35,5,30,26,79,46,0,1,12,4,33.3,0.56,0.19,0.08,0.25,16.1,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,47,2.2,43,1,1,2,0,0,5,0.23,5,0,0,0,0,0,24,23,51.1,1044,1282,81.4,15383,5987,26,73,42,14,110
