Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance OG,Performance Recov,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Expected xA,Expected A-xAG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,KP,1/3,PPA,CrsPA,PrgP
748,Jamie Donley,eng ENG,FW,Tottenham,eng Premier League,19,2005,0,0,0,0.0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,1,50.0,1,1,100.0,14,0,0,0,0,0,0
749,Gianluigi Donnarumma,it ITA,GK,Paris S-G,fr Ligue 1,25,1999,25,25,2169,24.1,0,0,0,0,0,0,3,1,0,2,0,0,0,1,0,28,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.1,0,0,0,0,0,0,0,0.0,0,0,0,0,1,1,9,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,20,0.83,110,89,84.5,18,6,1,10,40.0,4,3,1,0,25.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,1,66.7,686,773,88.7,14587,8096,0,2,0,0,0
750,Patrick Dorgu,dk DEN,"DF,MF",Lecce,it Serie A,20,2004,0,0,0,17.4,2,0,2,2,0,0,6,0,0,25,44,2,41,9,0,78,2.0,2.0,1.6,3.6,0.7,-1.6,0.11,0.0,0.0,37,49,86,0.12,0.0,0.12,0.12,0.12,0.11,0.09,0.21,0.11,0.21,17.4,43,22,22,17,4,22,34,64.7,12,16,5,11,9,52,45,2,2,18,7,38.9,1.04,0.4,0.11,0.29,17.8,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,40,2.3,26,5,2,3,4,0,1,0.06,0,0,0,1,0,0,27,25,51.9,582,729,79.8,9119,2695,18,31,13,7,49
751,Niklas Dorsch,de GER,MF,Augsburg,de Bundesliga,26,1998,0,0,0,15.4,0,0,0,0,0,0,5,0,0,19,27,0,3,16,0,113,0.7,0.7,0.1,0.8,0.3,-0.1,0.05,-0.7,-0.7,12,47,12,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05,15.4,35,24,13,21,1,13,33,39.4,20,15,9,6,16,51,27,0,0,14,0,0.0,0.91,0.0,0.0,0.0,25.1,2,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,18,1.17,12,0,1,2,2,1,1,0.06,1,0,0,0,0,0,9,18,33.3,545,628,86.8,9719,2395,3,41,2,1,47
752,Alberto Dossena,it ITA,DF,Cagliari,it Serie A,26,1998,0,0,0,33.1,2,4,6,2,0,0,5,0,0,38,42,0,1,45,2,190,2.2,2.2,2.1,4.3,1.3,1.9,0.09,-0.2,-0.2,9,89,2,0.06,0.12,0.18,0.06,0.18,0.07,0.06,0.13,0.07,0.13,33.1,55,35,43,12,0,32,48,66.7,16,50,27,23,45,100,172,2,2,24,6,25.0,0.73,0.18,0.08,0.33,11.3,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,29,0.88,21,0,0,4,1,3,5,0.15,4,0,0,1,0,0,118,68,63.4,1042,1305,79.8,22274,7809,12,71,4,0,89
753,Carlos Dotor,es ESP,MF,Celta Vigo,es La Liga,23,2001,0,0,0,7.9,0,0,0,0,0,0,2,0,0,14,10,0,9,4,0,49,0.2,0.2,0.1,0.3,0.3,-0.1,0.04,-0.2,-0.2,3,30,12,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,7.9,14,7,3,8,3,4,13,30.8,9,12,2,10,4,18,4,0,0,4,0,0.0,0.51,0.0,0.0,0.0,22.9,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,9,1.14,7,1,0,0,1,0,1,0.13,0,0,0,0,1,0,5,8,38.5,289,350,82.6,4289,997,1,26,3,1,30
754,Abdoulaye Doucouré,ml MLI,"FW,MF",Everton,eng Premier League,31,1993,0,0,0,29.2,7,1,8,7,0,0,7,0,0,53,8,21,26,15,0,144,8.8,8.8,2.9,11.6,1.5,-1.9,0.2,-1.8,-1.8,55,97,140,0.24,0.03,0.27,0.24,0.27,0.3,0.1,0.4,0.3,0.4,29.2,43,27,20,14,9,18,46,39.1,28,23,3,20,15,58,19,0,7,47,21,44.7,1.61,0.72,0.15,0.33,12.2,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,67,2.29,59,0,0,6,1,1,5,0.17,3,0,0,2,0,0,24,40,37.5,683,893,76.5,9807,2329,34,43,18,1,97
755,Cheick Doucouré,ml MLI,MF,Crystal Palace,eng Premier League,24,2000,0,0,0,10.2,0,0,0,0,0,0,2,0,0,10,1,0,1,20,0,74,0.3,0.3,0.7,1,0.8,-0.7,0.05,-0.3,-0.3,9,49,5,0.0,0.0,0.0,0.0,0.0,0.03,0.07,0.1,0.03,0.1,10.2,34,17,15,13,6,18,30,60.0,12,13,2,11,20,54,12,0,0,6,2,33.3,0.59,0.2,0.0,0.0,21.6,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,23,2.25,19,0,1,2,0,1,3,0.29,3,0,0,0,0,0,5,9,35.7,367,422,87.0,5725,1849,10,39,5,0,49
756,Siriné Doucouré,ml MLI,FW,Lorient,fr Ligue 1,22,2002,0,0,0,4.7,1,3,4,1,0,0,2,0,0,10,6,2,1,1,0,8,0.9,0.9,1.3,2.2,0.6,1.7,0.1,0.1,0.1,14,5,35,0.21,0.64,0.85,0.21,0.85,0.2,0.28,0.47,0.2,0.47,4.7,8,6,0,4,4,3,3,100.0,0,4,0,4,1,9,6,0,1,9,5,55.6,1.91,1.06,0.11,0.2,12.6,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,13,2.78,11,0,1,1,0,0,4,0.86,4,0,0,0,0,0,17,24,41.5,71,94,75.5,913,208,10,4,1,0,5
757,Désiré Doué,fr FRA,"MF,FW",Rennes,fr Ligue 1,19,2005,0,0,0,18.1,4,4,8,4,0,0,3,0,0,35,55,2,70,14,0,96,2.4,2.4,3.7,6.1,3.7,0.3,0.07,1.6,1.6,78,121,172,0.22,0.22,0.44,0.22,0.44,0.13,0.21,0.34,0.13,0.34,18.1,32,18,11,14,7,10,33,30.3,23,30,1,29,14,46,8,0,4,34,13,38.2,1.88,0.72,0.12,0.31,19.1,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,88,4.87,56,4,14,4,7,3,12,0.66,6,0,3,1,1,1,6,15,28.6,576,779,73.9,9991,3047,31,64,45,8,121
